longitud,latitud,Enotourism,valoracion,n_valoraciones,esta_trip,total_visits_similar,Antiguedad.empresa,Tamaño,Productividad,Rentabilidad
-3.7509232,41.7595385,0,5.0,8.0,0,,31,-1.33899440743314,-0.366675295182745,0.28921965042529
-3.98644,41.71207,1,,,0,22000.0,30,5.86858299043326,1.18993033945135,1.06888710397369
-3.75134,41.76005,0,4.8,63.0,1,2300.0,30,2.32086438081721,0.101510504612067,0.200372937102053
-3.95619,41.74721,0,5.0,4.0,0,448.0,29,-0.586880779140204,0.463431326764835,0.303663382180705
-3.82691151,41.77535068,0,4.8,16.0,0,1000.0,29,0.800896976468454,0.0656227221893501,0.230054552355937
-3.74784086,42.04519874,0,,,0,1900.0,29,-1.7597321076337,-0.641752832521205,0.0401183761787151
-3.6980329,41.5752405,1,4.8,37.0,1,3500.0,28,1.48062662339149,1.09006732849556,-0.403044682558143
-3.887752,41.759285,0,4.3,3.0,0,1000.0,27,-1.08855761198287,0.53744421541484,-0.0625560114548736
-3.92903,41.69396,0,4.8,79.0,0,4100.0,27,1.53271772934333,1.31562520333791,-0.100588722852625
-3.87995789,41.81590284,0,4.5,14.0,0,410.0,26,-1.53387212045488,-0.544182658814168,-0.0011943084916326
-3.6847,41.67081,0,5.0,1.0,0,,25,-1.04273422206264,0.333511984027181,-0.106535929792696
-3.99093223,42.7028452,0,,,0,,25,-0.892923885608079,1.06462270346662,-0.166682986691948
-3.9305323,41.6023916,0,4.3,16.0,0,2400.0,25,-1.44969888215496,-0.552253129887714,0.580623817038429
-3.9848011,41.6669494,1,4.9,37.0,0,2700.0,24,0.420373543774664,2.35709668410124,-0.581164824363715
